,brand,model,model_year,price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
0,Jeep,Wrangler,2016,29998,Green,Sahara,Used,"SUV, Crossover",4 x 4,Manual,Other,"53,428",na,"321 Front St E, Toronto, ON, M5A 1G3"
1,Volvo,XC90,2019,39999,Blue,Momentum | 7 PASSENGER | NEW TIRES,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"74,100",na,"935 Woodlawn Road West, Guelph, ON, N1K 1B7"
2,Toyota,4Runner,2018,47777,White,SR5 LIMITED 4WD *7-Pass*,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"36,430",na,"2100 Lawrence Ave, Toronto, ON, M1R 2Z7"
3,Chevrolet,Silverado 1500,2014,21888,Black,na,Used,Pickup Truck,4 x 4,Automatic,Other,"208,124",na,"2380 Lawrence Avenue East, Scarborough, ON, M1P 2R5"
4,Ford,Escape,2020,32987,Black,Titanium +PANROOF+REV CAM+NAV+BLIS,Used,Other,Other,Automatic,Other,"31,329",na,"2062 Weston Road, Toronto, ON, M9N 1X5"
5,Honda,CR-V,2011,14495,Silver,EX-L 4WD EX-L,Used,"SUV, Crossover",4 x 4,na,Gasoline,"170,000",na,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
6,Chevrolet,Silverado 1500,2018,39990,Black,1LT,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"89,201",https://www.carproof.com/order?ref=kijiji&vin=1GCVKREC9JZ381805,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
7,GMC,Sierra 1500,2018,37990,Black,SLE,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"102,122",https://www.carproof.com/order?ref=kijiji&vin=3GTU2MEC7JG136998,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
8,Lexus,ES,2016,29990,Blue,Other,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"97,399",https://www.carproof.com/order?ref=kijiji&vin=58ABK1GG0GU026522,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
9,Toyota,Tundra,2017,40998,Grey,SR 4.6L V8,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"50,038",https://www.carproof.com/order?ref=kijiji&vin=5TFUM5F1XHX070594,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
10,Hyundai,Sonata,2019,25990,Black,Sport,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"67,667",https://www.carproof.com/order?ref=kijiji&vin=5NPE34AF2KH785943,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
11,Mercedes-Benz,CLA,2015,21888,White,CLA250 4MATIC |NAV|PANOROOF|HEATED SEATS |LED |B.SPOT,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"99,984",https://www.carproof.com/order?ref=kijiji&vin=WDDSJ4GB4FN239511,"5001 Steeles Ave W, North York, ON, M9L 2X1"
12,Cadillac,SRX,2013,21000,Grey,Luxury Collection,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"82,328",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
13,Chevrolet,Volt,2018,25990,Red,LT,Used,Wagon,Front-wheel drive (FWD),Automatic,Hybrid-Electric,"89,467",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
14,Honda,Civic,2016,13900,Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"146,015",na,"375 Danforth Road, Scarborough, ON"
15,Ford,E-250,2009,8500,White,na,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"198,518",na,"Scarborough, ON M1L 2E8"
16,Ford,Fusion,2019,28990,Grey,"Titanium w/ SYNC 3, Adaptive Cruise Control",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"57,309",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
17,Hyundai,Tucson,2020,32890,Blue,"Luxury AWD w/ CarPlay & Android Auto, 360 Camera",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"25,284",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
18,Acura,ILX,2016,19990,White,"Base w/ Adaptive Cruise Control, Remote Starter",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"76,836",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
19,Hyundai,Santa Fe,2020,32990,White,"Preferred AWD w/ CarPlay, Heated Front Seats & Steering Wheel",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"48,218",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
20,Honda,Odyssey,2009,6000,Grey,EX-L,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"274,896",https://www.carproof.com/order?ref=kijiji&vin=5FNRL38679B503726,"1101 Finch Avenue West, UNIT 3, Toronto, ON, M3J 2C9"
21,Toyota,Matrix,2009,9995,Orange,Other 4dr Wgn Auto FWD,Used,Other,Front-wheel drive (FWD),na,Gasoline,"162,000",https://www.carproof.com/order?ref=kijiji&vin=2TIKU40E09C073047,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
22,BMW,X1,2015,20690,Brown,"XDrive28i AWD w/ Pano Roof, Heated Front Seats",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"80,412",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
23,Chevrolet,Silverado 2500,2011,23999,White,Crew Cab Long Box 4WD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"142,747",https://www.carproof.com/order?ref=kijiji&vin=1GC1KVCGXBF125995,"17 Tangiers Road, North York, ON, M3J 2B1"
24,BMW,4-Series,2019,36890,White,"430i xDrive Coupe AWD w/ M Sport Package, HUD, Navi",Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Other,"40,652",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
25,Ford,Fusion,2020,24990,Silver,"SE w/ SYNC 3, Navi, Adaptive Cruise CTRL",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"40,178",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
26,Ford,F-250,2014,19999,White,Crew Cab Short Box 4WD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"251,104",https://www.carproof.com/order?ref=kijiji&vin=1FT7W2B66EEB83389,"17 Tangiers Road, North York, ON, M3J 2B1"
27,Honda,Civic,2017,22990,Black,"Touring w/ Navi, CarPlay, Wireless Phone Charger",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"117,595",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
28,Honda,Civic,1991,8500,Black,Si,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,"290,325",na,"Scarborough, ON M1N 1R5"
29,Chevrolet,Corvette,2004,24250,Red,na,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,"133,918",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
30,Honda,Pilot,2016,27995,Blue,EX-L 4WD EX-L with DVD Rear Entertainment System,Used,"SUV, Crossover",All-wheel drive (AWD),na,Gasoline,"129,000",na,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
31,Hyundai,Santa Fe,2015,12000,na,na,Used,"SUV, Crossover",na,na,na,"229,000",na,"1 Springhurst Ave, Toronto, M6K 1A8"
32,Kia,Soul EV,2018,23989,Blue,EV Luxury,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Hybrid-Electric,"77,325",https://www.carproof.com/order?ref=kijiji&vin=KNDJX3AE4J7030008,"2201 Markham Road, Scarborough, ON, M1B 2W3"
33,Kia,Sportage,2018,16995,Red,LX,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"112,896",https://www.carproof.com/order?ref=kijiji&vin=KNDPM3ACXJ7476407,"2201 Markham Road, Scarborough, ON, M1B 2W3"
34,Honda,CR-V,2018,25488,White,LX,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"117,498",na,"2240 Markham Road, Scarborough, ON, M1B 2W4"
35,Honda,Civic,2017,21900,Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"105,769",na,"2240 Markham Road, Scarborough, ON, M1B 2W4"
36,Honda,CR-V,2016,22590,Black,"LX AWD w/ Heated Front Seats, Rearview Cam",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"115,909",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
37,Mercedes-Benz,GLA,2018,29990,Black,"250 4MATIC AWD w/ Premium Pack, CarPlay & Android Auto",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"75,292",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
38,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
39,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
40,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
41,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
42,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
43,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
44,Ford,F-150,2016,17900,Black,"Crew cab 4x4, 4 door, Automatic, 3/Y Warranty Available",Used,Pickup Truck,4 x 4,Automatic,Other,"290,000",https://www.carproof.com/order?ref=kijiji&vin=1FTEW1EF3GFA26655,"10 Le Page Court, North York, ON, M3J 1Z9"
45,Chevrolet,Malibu,2021,23999,White,LT | New Firestone Tires | Non-Smoking !!,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"78,792",https://www.carproof.com/order?ref=kijiji&vin=1G1ZD5ST5MF029389,"935 Woodlawn Road West, Guelph, ON, N1K 1B7"
46,Mercedes-Benz,C-Class,2020,44990,White,4Matic,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"55,295",https://www.carproof.com/order?ref=kijiji&vin=55SWF8EB2LU329935,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
47,Mitsubishi,RVR,2012,11995,Blue,GT AWC SPORT BT HEAT SEATS PANO SUNROOF...MINT,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"151,000",https://www.carproof.com/order?ref=kijiji&vin=JA4AJ4AU4CZ604980,"1830 Lawrence Avenue East, Toronto, ON, M1R 2Y2"
48,Nissan,Xterra,2006,6995,Silver,SE,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"186,002",https://www.carproof.com/order?ref=kijiji&vin=5N1AN08W86C518584,"56 Martin Ross Ave., North York, ON, M3J 2L4"
49,Toyota,Matrix,2010,14500,na,XR 2.4L,Used,Wagon,na,na,na,"54,143",na,"Toronto, ON, M4N 1S2"
50,Honda,CR-V,2011,14495,Silver,EX-L 4WD EX-L,Used,"SUV, Crossover",4 x 4,na,Gasoline,"170,000",na,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
51,Chevrolet,Silverado 1500,2018,39990,Black,1LT,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"89,201",https://www.carproof.com/order?ref=kijiji&vin=1GCVKREC9JZ381805,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
52,GMC,Sierra 1500,2018,37990,Black,SLE,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"102,122",https://www.carproof.com/order?ref=kijiji&vin=3GTU2MEC7JG136998,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
53,Lexus,ES,2016,29990,Blue,Other,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"97,399",https://www.carproof.com/order?ref=kijiji&vin=58ABK1GG0GU026522,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
54,Toyota,Tundra,2017,40998,Grey,SR 4.6L V8,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"50,038",https://www.carproof.com/order?ref=kijiji&vin=5TFUM5F1XHX070594,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
55,Hyundai,Sonata,2019,25990,Black,Sport,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"67,667",https://www.carproof.com/order?ref=kijiji&vin=5NPE34AF2KH785943,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
56,Mercedes-Benz,CLA,2015,21888,White,CLA250 4MATIC |NAV|PANOROOF|HEATED SEATS |LED |B.SPOT,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"99,984",https://www.carproof.com/order?ref=kijiji&vin=WDDSJ4GB4FN239511,"5001 Steeles Ave W, North York, ON, M9L 2X1"
57,Cadillac,SRX,2013,21000,Grey,Luxury Collection,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"82,328",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
58,Chevrolet,Volt,2018,25990,Red,LT,Used,Wagon,Front-wheel drive (FWD),Automatic,Hybrid-Electric,"89,467",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
59,Honda,Civic,2016,13900,Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"146,015",na,"375 Danforth Road, Scarborough, ON"
60,Ford,E-250,2009,8500,White,na,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"198,518",na,"Scarborough, ON M1L 2E8"
61,Ford,Fusion,2019,28990,Grey,"Titanium w/ SYNC 3, Adaptive Cruise Control",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"57,309",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
62,Hyundai,Tucson,2020,32890,Blue,"Luxury AWD w/ CarPlay & Android Auto, 360 Camera",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"25,284",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
63,Acura,ILX,2016,19990,White,"Base w/ Adaptive Cruise Control, Remote Starter",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"76,836",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
64,Hyundai,Santa Fe,2020,32990,White,"Preferred AWD w/ CarPlay, Heated Front Seats & Steering Wheel",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"48,218",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
65,Honda,Odyssey,2009,6000,Grey,EX-L,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"274,896",https://www.carproof.com/order?ref=kijiji&vin=5FNRL38679B503726,"1101 Finch Avenue West, UNIT 3, Toronto, ON, M3J 2C9"
66,Toyota,Matrix,2009,9995,Orange,Other 4dr Wgn Auto FWD,Used,Other,Front-wheel drive (FWD),na,Gasoline,"162,000",https://www.carproof.com/order?ref=kijiji&vin=2TIKU40E09C073047,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
67,BMW,X1,2015,20690,Brown,"XDrive28i AWD w/ Pano Roof, Heated Front Seats",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"80,412",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
68,Chevrolet,Silverado 2500,2011,23999,White,Crew Cab Long Box 4WD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"142,747",https://www.carproof.com/order?ref=kijiji&vin=1GC1KVCGXBF125995,"17 Tangiers Road, North York, ON, M3J 2B1"
69,BMW,4-Series,2019,36890,White,"430i xDrive Coupe AWD w/ M Sport Package, HUD, Navi",Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Other,"40,652",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
70,Ford,Fusion,2020,24990,Silver,"SE w/ SYNC 3, Navi, Adaptive Cruise CTRL",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"40,178",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
71,Ford,F-250,2014,19999,White,Crew Cab Short Box 4WD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"251,104",https://www.carproof.com/order?ref=kijiji&vin=1FT7W2B66EEB83389,"17 Tangiers Road, North York, ON, M3J 2B1"
72,Honda,Civic,2017,22990,Black,"Touring w/ Navi, CarPlay, Wireless Phone Charger",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"117,595",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
73,Honda,Civic,1991,8500,Black,Si,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,"290,325",na,"Scarborough, ON M1N 1R5"
74,Chevrolet,Corvette,2004,24250,Red,na,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,"133,918",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
75,Honda,Pilot,2016,27995,Blue,EX-L 4WD EX-L with DVD Rear Entertainment System,Used,"SUV, Crossover",All-wheel drive (AWD),na,Gasoline,"129,000",na,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
76,Hyundai,Santa Fe,2015,12000,na,na,Used,"SUV, Crossover",na,na,na,"229,000",na,"1 Springhurst Ave, Toronto, M6K 1A8"
77,Kia,Soul EV,2018,23989,Blue,EV Luxury,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Hybrid-Electric,"77,325",https://www.carproof.com/order?ref=kijiji&vin=KNDJX3AE4J7030008,"2201 Markham Road, Scarborough, ON, M1B 2W3"
78,Kia,Sportage,2018,16995,Red,LX,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"112,896",https://www.carproof.com/order?ref=kijiji&vin=KNDPM3ACXJ7476407,"2201 Markham Road, Scarborough, ON, M1B 2W3"
79,Honda,CR-V,2018,25488,White,LX,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"117,498",na,"2240 Markham Road, Scarborough, ON, M1B 2W4"
80,Honda,Civic,2017,21900,Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"105,769",na,"2240 Markham Road, Scarborough, ON, M1B 2W4"
81,Honda,CR-V,2016,22590,Black,"LX AWD w/ Heated Front Seats, Rearview Cam",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"115,909",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
82,Mercedes-Benz,GLA,2018,29990,Black,"250 4MATIC AWD w/ Premium Pack, CarPlay & Android Auto",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"75,292",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
83,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
84,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
85,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
86,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
