,brand,model,model_year,price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
87,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
88,Kia,Sportage,2021,36995,Grey,EX S,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"17,981",https://www.carproof.com/order?ref=kijiji&vin=KNDPNCAC5M7868387,"2201 Markham Road, Scarborough, ON, M1B 2W3"
89,Hyundai,Elantra,2018,21484,Orange,GL,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"71,725",na,"560 Wharncliffe Road South, London, ON, N6J 2N4"
90,Ford,Escape,2018,19987,White,SE +4WD+REVERSE CAMERA+ROOFRAILS,Used,"SUV, Crossover",Other,Automatic,Other,"124,565",na,"2062 Weston Road, Toronto, ON, M9N 1X5"
91,Volkswagen,Jetta,2019,20499,Blue,COMFORTLINE/MANUAL/HEATED SEATS,Used,Sedan,Front-wheel drive (FWD),Manual,Other,"68,400",https://www.carproof.com/order?ref=kijiji&vin=3VWN57BU4KM021561,"5125 Steeles Avenue West, Toronto, ON, M9L 1R5"
92,Nissan,Rogue,2011,10950,Black,SL AWD BT NAVI REV CAM LEATHER SUNROOF...NICE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"190,000",https://www.carproof.com/order?ref=kijiji&vin=JN8AS5MV4BW260312,"1830 Lawrence Avenue East, Toronto, ON, M1R 2Y2"
93,Lincoln,Navigator,2008,10800,Black,na,Used,Pickup Truck,4 x 4,Automatic,na,"118,000",na,"Toronto, ON M2H1B3"
94,Volkswagen,Golf,2019,22690,White,"Comfortline W/ CarPlay, Camera, Heated Seats",Used,Hatchback,Front-wheel drive (FWD),Automatic,Other,"69,920",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
95,Acura,RDX,2020,40590,White,"Platinum Elite AWD w/ Navi, 360 Cam, Ventilated Front Seats",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"109,000",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
96,Ford,Focus,2018,18990,Grey,"Titanium w/ SYNC 3, Sony Audio System",Used,Hatchback,Front-wheel drive (FWD),Automatic,Other,"98,651",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
97,Chevrolet,Colorado,2020,37723,White,Z71,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"46,259",na,"898 Milner Avenue, Scarborough, ON, M1B 5N7"
98,Toyota,Matrix,2010,14500,na,XR 2.4L,Used,Wagon,na,na,na,"54,143",na,"Toronto, ON, M4N 1S2"
99,Honda,CR-V,2011,14495,Silver,EX-L 4WD EX-L,Used,"SUV, Crossover",4 x 4,na,Gasoline,"170,000",na,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
100,Chevrolet,Silverado 1500,2018,39990,Black,1LT,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"89,201",https://www.carproof.com/order?ref=kijiji&vin=1GCVKREC9JZ381805,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
101,GMC,Sierra 1500,2018,37990,Black,SLE,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"102,122",https://www.carproof.com/order?ref=kijiji&vin=3GTU2MEC7JG136998,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
102,Lexus,ES,2016,29990,Blue,Other,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"97,399",https://www.carproof.com/order?ref=kijiji&vin=58ABK1GG0GU026522,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
103,Toyota,Tundra,2017,40998,Grey,SR 4.6L V8,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"50,038",https://www.carproof.com/order?ref=kijiji&vin=5TFUM5F1XHX070594,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
104,Hyundai,Sonata,2019,25990,Black,Sport,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"67,667",https://www.carproof.com/order?ref=kijiji&vin=5NPE34AF2KH785943,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
105,Mercedes-Benz,CLA,2015,21888,White,CLA250 4MATIC |NAV|PANOROOF|HEATED SEATS |LED |B.SPOT,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"99,984",https://www.carproof.com/order?ref=kijiji&vin=WDDSJ4GB4FN239511,"5001 Steeles Ave W, North York, ON, M9L 2X1"
106,Cadillac,SRX,2013,21000,Grey,Luxury Collection,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"82,328",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
107,Chevrolet,Volt,2018,25990,Red,LT,Used,Wagon,Front-wheel drive (FWD),Automatic,Hybrid-Electric,"89,467",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
108,Honda,Civic,2016,13900,Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"146,015",na,"375 Danforth Road, Scarborough, ON"
109,Ford,E-250,2009,8500,White,na,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"198,518",na,"Scarborough, ON M1L 2E8"
110,Ford,Fusion,2019,28990,Grey,"Titanium w/ SYNC 3, Adaptive Cruise Control",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"57,309",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
111,Hyundai,Tucson,2020,32890,Blue,"Luxury AWD w/ CarPlay & Android Auto, 360 Camera",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"25,284",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
112,Acura,ILX,2016,19990,White,"Base w/ Adaptive Cruise Control, Remote Starter",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"76,836",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
113,Hyundai,Santa Fe,2020,32990,White,"Preferred AWD w/ CarPlay, Heated Front Seats & Steering Wheel",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"48,218",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
114,Honda,Odyssey,2009,6000,Grey,EX-L,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"274,896",https://www.carproof.com/order?ref=kijiji&vin=5FNRL38679B503726,"1101 Finch Avenue West, UNIT 3, Toronto, ON, M3J 2C9"
115,Toyota,Matrix,2009,9995,Orange,Other 4dr Wgn Auto FWD,Used,Other,Front-wheel drive (FWD),na,Gasoline,"162,000",https://www.carproof.com/order?ref=kijiji&vin=2TIKU40E09C073047,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
116,BMW,X1,2015,20690,Brown,"XDrive28i AWD w/ Pano Roof, Heated Front Seats",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"80,412",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
117,Chevrolet,Silverado 2500,2011,23999,White,Crew Cab Long Box 4WD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"142,747",https://www.carproof.com/order?ref=kijiji&vin=1GC1KVCGXBF125995,"17 Tangiers Road, North York, ON, M3J 2B1"
118,BMW,4-Series,2019,36890,White,"430i xDrive Coupe AWD w/ M Sport Package, HUD, Navi",Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Other,"40,652",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
119,Ford,Fusion,2020,24990,Silver,"SE w/ SYNC 3, Navi, Adaptive Cruise CTRL",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"40,178",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
120,Ford,F-250,2014,19999,White,Crew Cab Short Box 4WD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"251,104",https://www.carproof.com/order?ref=kijiji&vin=1FT7W2B66EEB83389,"17 Tangiers Road, North York, ON, M3J 2B1"
121,Honda,Civic,2017,22990,Black,"Touring w/ Navi, CarPlay, Wireless Phone Charger",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"117,595",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
122,Honda,Civic,1991,8500,Black,Si,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,"290,325",na,"Scarborough, ON M1N 1R5"
123,Chevrolet,Corvette,2004,24250,Red,na,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,"133,918",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
124,Honda,Pilot,2016,27995,Blue,EX-L 4WD EX-L with DVD Rear Entertainment System,Used,"SUV, Crossover",All-wheel drive (AWD),na,Gasoline,"129,000",na,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
125,Hyundai,Santa Fe,2015,12000,na,na,Used,"SUV, Crossover",na,na,na,"229,000",na,"1 Springhurst Ave, Toronto, M6K 1A8"
126,Kia,Soul EV,2018,23989,Blue,EV Luxury,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Hybrid-Electric,"77,325",https://www.carproof.com/order?ref=kijiji&vin=KNDJX3AE4J7030008,"2201 Markham Road, Scarborough, ON, M1B 2W3"
127,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
128,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
129,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
130,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
131,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
132,Kia,Forte,2020,25299,Red,EX+,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"77,565",na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
133,Infiniti,QX60,2019,31991,Other,PURE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"99,677",na,"1055 Wharncliffe Road South, London, ON, N6L 1J9"
134,Toyota,Corolla,2019,23990,Grey,LE+ AUT0 A/C P/SUNROOF CRUSIE H/SEATS CAMERA,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"94,318",https://www.carproof.com/order?ref=kijiji&vin=2T1BURHE4KC138439,"1235 Finch Ave. W., Toronto, ON, M3J 2G4"
135,Chrysler,Sebring,2010,6979,Blue,TOURING!!! LOADED LEATHER/ROOF,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"158,433",https://www.carproof.com/order?ref=kijiji&vin=1C3CC5FV3AN112899,"5455 Steeles Avenue West, North York, ON, M9L 1S7"
136,Dodge,Journey,2015,9999,Blue,"SE PLUS MODEL, 4CYL 2.4 LITER, 7 PASSENGER",Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"187,429",https://www.carproof.com/order?ref=kijiji&vin=3C4PDCABXFT658618,"3675 Keele Street, Toronto, ON, M3J 1M6"
137,Hyundai,Genesis Coupe,2014,17950,Black,Premium,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,"171,000",https://www.carproof.com/order?ref=kijiji&vin=KMHHT6KD4EU120392,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
138,Lincoln,Navigator,2008,10800,Black,na,Used,Pickup Truck,4 x 4,Automatic,na,"118,000",na,"Toronto, ON M2H1B3"
139,Chevrolet,Sonic,2014,5750,White,LT,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"205,911",na,"7 Eastvale Dr, Markham, ON L3S"
140,Volkswagen,Golf,2019,22690,White,"Comfortline W/ CarPlay, Camera, Heated Seats",Used,Hatchback,Front-wheel drive (FWD),Automatic,Other,"69,920",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
141,Acura,RDX,2020,40590,White,"Platinum Elite AWD w/ Navi, 360 Cam, Ventilated Front Seats",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"109,000",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
142,Ford,Focus,2018,18990,Grey,"Titanium w/ SYNC 3, Sony Audio System",Used,Hatchback,Front-wheel drive (FWD),Automatic,Other,"98,651",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
143,Chevrolet,Colorado,2020,37723,White,Z71,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"46,259",na,"898 Milner Avenue, Scarborough, ON, M1B 5N7"
144,Toyota,Matrix,2010,14500,na,XR 2.4L,Used,Wagon,na,na,na,"54,143",na,"Toronto, ON, M4N 1S2"
145,Honda,CR-V,2011,14495,Silver,EX-L 4WD EX-L,Used,"SUV, Crossover",4 x 4,na,Gasoline,"170,000",na,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
146,Chevrolet,Silverado 1500,2018,39990,Black,1LT,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"89,201",https://www.carproof.com/order?ref=kijiji&vin=1GCVKREC9JZ381805,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
147,GMC,Sierra 1500,2018,37990,Black,SLE,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"102,122",https://www.carproof.com/order?ref=kijiji&vin=3GTU2MEC7JG136998,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
148,Lexus,ES,2016,29990,Blue,Other,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"97,399",https://www.carproof.com/order?ref=kijiji&vin=58ABK1GG0GU026522,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
149,Toyota,Tundra,2017,40998,Grey,SR 4.6L V8,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"50,038",https://www.carproof.com/order?ref=kijiji&vin=5TFUM5F1XHX070594,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
150,Hyundai,Sonata,2019,25990,Black,Sport,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"67,667",https://www.carproof.com/order?ref=kijiji&vin=5NPE34AF2KH785943,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
151,Mercedes-Benz,CLA,2015,21888,White,CLA250 4MATIC |NAV|PANOROOF|HEATED SEATS |LED |B.SPOT,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"99,984",https://www.carproof.com/order?ref=kijiji&vin=WDDSJ4GB4FN239511,"5001 Steeles Ave W, North York, ON, M9L 2X1"
152,Cadillac,SRX,2013,21000,Grey,Luxury Collection,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"82,328",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
153,Chevrolet,Volt,2018,25990,Red,LT,Used,Wagon,Front-wheel drive (FWD),Automatic,Hybrid-Electric,"89,467",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
154,Honda,Civic,2016,13900,Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"146,015",na,"375 Danforth Road, Scarborough, ON"
155,Ford,E-250,2009,8500,White,na,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"198,518",na,"Scarborough, ON M1L 2E8"
156,Ford,Fusion,2019,28990,Grey,"Titanium w/ SYNC 3, Adaptive Cruise Control",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"57,309",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
157,Hyundai,Tucson,2020,32890,Blue,"Luxury AWD w/ CarPlay & Android Auto, 360 Camera",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"25,284",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
158,Acura,ILX,2016,19990,White,"Base w/ Adaptive Cruise Control, Remote Starter",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"76,836",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
159,Hyundai,Santa Fe,2020,32990,White,"Preferred AWD w/ CarPlay, Heated Front Seats & Steering Wheel",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"48,218",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
160,Honda,Odyssey,2009,6000,Grey,EX-L,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"274,896",https://www.carproof.com/order?ref=kijiji&vin=5FNRL38679B503726,"1101 Finch Avenue West, UNIT 3, Toronto, ON, M3J 2C9"
161,Toyota,Matrix,2009,9995,Orange,Other 4dr Wgn Auto FWD,Used,Other,Front-wheel drive (FWD),na,Gasoline,"162,000",https://www.carproof.com/order?ref=kijiji&vin=2TIKU40E09C073047,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
162,BMW,X1,2015,20690,Brown,"XDrive28i AWD w/ Pano Roof, Heated Front Seats",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"80,412",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
163,Chevrolet,Silverado 2500,2011,23999,White,Crew Cab Long Box 4WD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"142,747",https://www.carproof.com/order?ref=kijiji&vin=1GC1KVCGXBF125995,"17 Tangiers Road, North York, ON, M3J 2B1"
164,BMW,4-Series,2019,36890,White,"430i xDrive Coupe AWD w/ M Sport Package, HUD, Navi",Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Other,"40,652",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
165,Ford,Fusion,2020,24990,Silver,"SE w/ SYNC 3, Navi, Adaptive Cruise CTRL",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"40,178",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
166,Ford,F-250,2014,19999,White,Crew Cab Short Box 4WD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"251,104",https://www.carproof.com/order?ref=kijiji&vin=1FT7W2B66EEB83389,"17 Tangiers Road, North York, ON, M3J 2B1"
167,Honda,Civic,2017,22990,Black,"Touring w/ Navi, CarPlay, Wireless Phone Charger",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"117,595",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
168,Honda,Civic,1991,8500,Black,Si,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,"290,325",na,"Scarborough, ON M1N 1R5"
169,Chevrolet,Corvette,2004,24250,Red,na,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,"133,918",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
170,Honda,Pilot,2016,27995,Blue,EX-L 4WD EX-L with DVD Rear Entertainment System,Used,"SUV, Crossover",All-wheel drive (AWD),na,Gasoline,"129,000",na,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
171,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
172,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
173,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
174,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
175,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
